dgeqrf, 16, 253.809348, 184.842064, 1489094787749470753, 1489095041558765477, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 254.217519, 184.545282, 1489095043779070224, 1489095297996539730, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 134.713289, 348.255499, 1489095300653834415, 1489095435367006196, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 134.843644, 347.918837, 1489095437893411848, 1489095572737049492, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 134.783717, 348.073527, 1489095575265849233, 1489095710049559444, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 134.877975, 347.830280, 1489095712608072834, 1489095847486041557, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 134.814663, 347.993628, 1489095850076632699, 1489095984891289125, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 134.611558, 348.518689, 1489095987481482317, 1489096122093033414, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  144, 8.270842, 709.069150, 1489096123934149487, 1489096132204964073, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  144, 8.222639, 713.225876, 1489096133256432468, 1489096141479066952, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  144, 8.318717, 704.988397, 1489096142528517061, 1489096150847229173, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  144, 8.247510, 711.075099, 1489096151890302578, 1489096160137775809, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  144, 8.235123, 712.144678, 1489096161172869577, 1489096169407987684, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  144, 8.232715, 712.352956, 1489096170445665516, 1489096178678375952, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  192, 8.464647, 692.834435, 1489096180005993239, 1489096188470617225, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  192, 8.215842, 713.815937, 1489096189527425964, 1489096197743263321, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  192, 8.347995, 702.515865, 1489096198770557143, 1489096207118549037, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  192, 8.277565, 708.493254, 1489096208162590641, 1489096216440152027, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  192, 8.250776, 710.793618, 1489096217490290923, 1489096225741062965, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  192, 8.361720, 701.362746, 1489096226764034312, 1489096235125750744, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  128, 6.864686, 854.314233, 1489096236594355809, 1489096243459017142, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  128, 6.698248, 875.542238, 1489096244410101918, 1489096251108344673, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  128, 6.695604, 875.887954, 1489096252165056881, 1489096258860655545, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  128, 6.669875, 879.266710, 1489096259824761661, 1489096266494631793, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  128, 6.674398, 878.670857, 1489096267456572977, 1489096274130965113, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  128, 6.719398, 872.786394, 1489096275084982786, 1489096281804374426, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 52.477665, 893.992593, 1489096284373486312, 1489096336851129578, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  96, 52.353468, 896.113392, 1489096339970304471, 1489096392323765721, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  96, 52.177065, 899.143021, 1489096395387765488, 1489096447564824130, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  96, 52.294898, 897.117037, 1489096450713450868, 1489096503008344525, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  96, 52.449291, 894.476224, 1489096506085199425, 1489096558534485456, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  96, 52.280517, 897.363809, 1489096561713465237, 1489096613993977366, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
