dpotrf, 128, 1.136138, 1290.4680, 1489108026971782878, 1489108028107914803, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.151251, 1273.5273, 1489108029289522841, 1489108030440766043, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.216262, 1205.4554, 1489108031830433494, 1489108033046686447, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.239328, 1183.0200, 1489108034408180718, 1489108035647500937, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.174412, 1248.4117, 1489108036957369286, 1489108038131773804, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 5.414579, 2166.1260, 1489108040987305925, 1489108046401748185, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.201190, 2254.9956, 1489108051428202263, 1489108056629385475, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.241528, 2237.6415, 1489108061666166733, 1489108066907686822, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.214970, 2249.0370, 1489108071953083664, 1489108077168047478, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.149907, 2277.4509, 1489108082199432545, 1489108087349331320, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.236701, 2239.7041, 1489108092320062505, 1489108097556757223, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.671385, 663.70920, 1489108102512150493, 1489108120183465802, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.567412, 667.63737, 1489108124859741800, 1489108142427145564, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.549106, 668.33381, 1489108146874184854, 1489108164423283660, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.562844, 667.81103, 1489108168948220030, 1489108186511054564, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.567689, 667.62685, 1489108190952867627, 1489108208520548559, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.589072, 666.81522, 1489108213179927761, 1489108230768991723, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 1.437899, 1019.64731, 1489108234763978484, 1489108236201846484, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.408916, 1040.62235, 1489108237519442357, 1489108238928349527, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.392741, 1052.70812, 1489108240176396425, 1489108241569066632, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.370294, 1069.95278, 1489108242809719836, 1489108244180005242, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.408066, 1041.25068, 1489108245470531695, 1489108246878589279, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.419053, 1033.18878, 1489108248187502521, 1489108249606537851, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 6.634702, 1767.7750, 1489108252078615092, 1489108258713289798, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.505182, 1802.9720, 1489108263473966153, 1489108269979141316, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.510434, 1801.5175, 1489108274736532671, 1489108281246961732, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.525768, 1797.2843, 1489108285927850029, 1489108292453611940, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.498186, 1804.9130, 1489108297185498904, 1489108303683678929, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.540242, 1793.3068, 1489108308444789634, 1489108314984997873, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 103.236576, 113.60955, 1489108322498014727, 1489108425734510909, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 103.287750, 113.55326, 1489108430783265500, 1489108534071006690, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 103.240013, 113.60576, 1489108539152786698, 1489108642392773908, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 103.465278, 113.35842, 1489108647362243429, 1489108750827512665, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 103.317480, 113.52058, 1489108755794659776, 1489108859112088484, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 103.351388, 113.48334, 1489108864094636932, 1489108967446016339, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
