dpotrf, 128, 1.680024, 872.695626, 1489098153754468106, 1489098155434481238, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.896574, 773.051675, 1489098156333776673, 1489098158230343011, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.864045, 786.542063, 1489098159162041401, 1489098161026080939, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.777450, 824.861264, 1489098161945145293, 1489098163722590122, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.775169, 825.921256, 1489098164644604508, 1489098166419767791, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 2.344873, 625.257638, 1489098167723445696, 1489098170068291518, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 1.753064, 836.335578, 1489098171377782184, 1489098173130841425, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 2.038847, 719.107293, 1489098174333803261, 1489098176372643185, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 1.884483, 778.011607, 1489098177632436134, 1489098179516913334, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 1.983336, 739.234172, 1489098180758468776, 1489098182741799210, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 1.874237, 782.264824, 1489098183975784841, 1489098185850016216, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 19.079628, 614.72166, 1489098188542042935, 1489098207621640165, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 11.238949, 1043.5727, 1489098211919276272, 1489098223158219870, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 12.507355, 937.74110, 1489098227327619052, 1489098239834969104, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 13.170000, 890.55892, 1489098243928407374, 1489098257098401485, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 12.773712, 918.18736, 1489098261176106144, 1489098273949811439, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 12.698381, 923.63435, 1489098277976850458, 1489098290675225104, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 18.960293, 618.590698, 1489098294241308587, 1489098313201575259, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 11.215907, 1045.71668, 1489098317081973595, 1489098328297872271, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 15.389718, 762.110187, 1489098331889531233, 1489098347279240505, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 13.291624, 882.409934, 1489098351011008102, 1489098364302623139, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 13.680680, 857.315636, 1489098368018404265, 1489098381699075195, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 13.833318, 847.855945, 1489098385354083533, 1489098399187394526, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
