dpotrf, 144, 1.020287, 1436.9976, 1489088231906673605, 1489088232926955606, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.348734, 1087.05632, 1489088234122793131, 1489088235471502728, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.291126, 1135.55917, 1489088236254058472, 1489088237545177673, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.290702, 1135.93192, 1489088238338856998, 1489088239629552721, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.283562, 1142.25085, 1489088240412209820, 1489088241695767866, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.260195, 1163.43082, 1489088242486327354, 1489088243746516608, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.279668, 1145.72677, 1489088244530486693, 1489088245810148619, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 48, 15.975289, 734.17520, 1489088248434350700, 1489088264409614272, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 15.837184, 740.57742, 1489088266785562918, 1489088282622739139, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 15.728137, 745.71202, 1489088285029745406, 1489088300757874869, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 15.884432, 738.37459, 1489088303188060708, 1489088319072483478, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 15.706096, 746.75851, 1489088321486679628, 1489088337192766712, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 16.027030, 731.80500, 1489088339603221452, 1489088355630244192, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 44.914870, 261.13091, 1489088358477377617, 1489088403392219651, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 45.293685, 258.94693, 1489088405340891986, 1489088450634569058, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 44.926586, 261.06281, 1489088452599863374, 1489088497526381328, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 45.038709, 260.41290, 1489088499485981989, 1489088544524683539, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 44.958874, 260.87532, 1489088546458234328, 1489088591417101660, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 45.188991, 259.54686, 1489088593352241672, 1489088638541225933, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
