dgeqrf, 48, 117.181343, 400.35932, 1489129424152546629, 1489129541333884598, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.419002, 930.49528, 1489129547313604439, 1489129597732584269, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.219487, 934.19201, 1489129603628475243, 1489129653847955828, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.323045, 932.26957, 1489129659772474432, 1489129710095511779, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.410558, 930.65115, 1489129715986417795, 1489129766396968497, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.323500, 932.26114, 1489129772294806735, 1489129822618276175, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.406782, 930.72086, 1489129828529131245, 1489129878935906539, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 172.008571, 272.74596, 1489129884683566021, 1489130056692113623, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 171.255883, 273.94471, 1489130061822597742, 1489130233078475625, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 171.634638, 273.34018, 1489130238181937588, 1489130409816566564, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 171.265259, 273.92971, 1489130414872508559, 1489130586137760797, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 171.463333, 273.61327, 1489130591262697805, 1489130762726022113, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 171.188097, 274.05318, 1489130767844976146, 1489130939033065289, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 15.176007, 386.438867, 1489130943353072448, 1489130958529041351, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 15.082474, 388.835344, 1489130959981202379, 1489130975063669534, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 15.057939, 389.468900, 1489130976598054836, 1489130991655987267, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 15.100262, 388.377300, 1489130993077244601, 1489131008177500693, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 15.176669, 386.422008, 1489131009571764829, 1489131024748427001, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 15.097580, 388.446287, 1489131026155439242, 1489131041253012242, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 39.289637, 1194.0717, 1489131045214262071, 1489131084503874029, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 38.985445, 1203.3887, 1489131091169216238, 1489131130154654200, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.005914, 1202.7571, 1489131136783657526, 1489131175789567013, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.003905, 1202.8191, 1489131182367586184, 1489131221371483151, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 38.927989, 1205.1648, 1489131228046554619, 1489131266974538558, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.236376, 1195.6925, 1489131273560034756, 1489131312796405826, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
