dgeqrf, 32, 174.43922, 268.945492, 1489120076070385373, 1489120250509603964, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 174.52952, 268.806348, 1489120256176159294, 1489120430705632844, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 174.34496, 269.090906, 1489120436056016516, 1489120610400972426, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 174.39262, 269.017369, 1489120615747958912, 1489120790140522523, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 16.191019, 362.213085, 1489120794781976747, 1489120810972869154, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.163855, 362.821803, 1489120812528237559, 1489120828692086295, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.171959, 362.639981, 1489120830178666556, 1489120846350616941, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.186782, 362.307901, 1489120847799761306, 1489120863986534653, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.173304, 362.609825, 1489120865465053442, 1489120881638348768, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.174380, 362.585703, 1489120883149563072, 1489120899323871159, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 39.53499, 1186.66133, 1489120902719302783, 1489120942254261224, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.40928, 1190.44657, 1489120948573969116, 1489120987983244410, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.42369, 1190.01139, 1489120994304012094, 1489121033727671820, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.45409, 1189.09449, 1489121040101072881, 1489121079555157805, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.44176, 1189.46622, 1489121085941421804, 1489121125383177850, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 192, 39.44209, 1189.45609, 1489121131684600469, 1489121171126692874, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
