dpotrf, 96, 1.653571, 886.656581, 1489110080175610536, 1489110081829157065, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.622142, 903.835713, 1489110083025314378, 1489110084647449138, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.577210, 929.584374, 1489110085855372394, 1489110087432546682, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.553675, 943.665686, 1489110088610028880, 1489110090163696545, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.560243, 939.693113, 1489110091346356585, 1489110092906592302, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 96, 1.527536, 959.813436, 1489110094094982497, 1489110095622510923, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 6.665905, 1759.5001, 1489110098401024401, 1489110105066774693, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.528476, 1796.5388, 1489110109914692978, 1489110116443163812, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.495905, 1805.5468, 1489110121311887401, 1489110127807786278, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.502368, 1803.7521, 1489110132711507499, 1489110139213868629, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.504124, 1803.2652, 1489110144071337886, 1489110150575455453, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.481122, 1809.6651, 1489110155451195105, 1489110161932311437, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 101.792876, 115.22084, 1489110169373478327, 1489110271166331430, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 101.614566, 115.42302, 1489110275970452861, 1489110377584992814, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 101.922896, 115.07385, 1489110382345379566, 1489110484268268233, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 101.626381, 115.40960, 1489110489051141319, 1489110590677513615, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 101.696593, 115.32992, 1489110595472041473, 1489110697168611971, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 8, 101.633545, 115.40147, 1489110701941221815, 1489110803574759437, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
